"Visitor arrivals by country of residence, purpose and NZ port (Monthly)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","TOTAL ALL COUNTRIES OF RESIDENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
" ","Business","","","","","","","","","Holiday/Vacation","","","","","","","","","Visit Friends/Relatives","","","","","","","","","TOTAL ALL TRAVEL PURPOSES","","","","","","","",""
" ","Auckland airport","Christchurch airport","Dunedin airport","Hamilton airport","Palmerston North airport","Rotorua airport","Wellington airport","Queenstown airport","TOTAL NEW ZEALAND PORTS","Auckland airport","Christchurch airport","Dunedin airport","Hamilton airport","Palmerston North airport","Rotorua airport","Wellington airport","Queenstown airport","TOTAL NEW ZEALAND PORTS","Auckland airport","Christchurch airport","Dunedin airport","Hamilton airport","Palmerston North airport","Rotorua airport","Wellington airport","Queenstown airport","TOTAL NEW ZEALAND PORTS","Auckland airport","Christchurch airport","Dunedin airport","Hamilton airport","Palmerston North airport","Rotorua airport","Wellington airport","Queenstown airport","TOTAL NEW ZEALAND PORTS"
"1990M09",6090,1040,0,0,0,0,830,0,7980,24620,10370,0,0,0,0,720,0,35740,10200,2160,0,0,0,0,1410,0,13770,49120,15330,0,0,0,0,3450,0,68030
"1990M10",7403,1265,0,0,0,0,1056,0,9801,32252,10450,0,0,0,0,968,0,43846,11990,2442,0,0,0,0,1485,0,15939,60324,15576,0,0,0,0,3982,0,80355
"1990M11",7590,1331,0,0,0,0,1056,0,10098,38885,12144,0,0,0,0,1309,0,52635,14245,2728,0,0,0,0,1397,0,18425,69564,18007,0,0,0,0,4400,0,92631
"1990M12",4584,744,0,0,0,0,504,0,6708,41904,14088,0,0,0,0,1740,0,57924,37692,7032,0,0,0,0,4308,0,49080,94536,23256,0,0,0,0,6960,0,126504
"1991M01",4800,732,0,0,0,0,636,0,7092,35724,10140,0,0,0,0,912,0,47244,17472,3348,0,0,0,0,1704,0,22524,67164,15684,0,0,0,0,3588,0,88584
"1991M02",6290,940,0,0,0,0,860,0,8200,40360,11730,0,0,0,0,1010,0,54420,16350,3050,0,0,0,0,1520,0,20970,70940,17260,0,0,0,0,3810,0,94010
"1991M03",6230,1120,0,0,0,0,850,0,8260,33650,10900,0,0,0,0,1110,0,46240,16890,3090,0,0,0,0,1940,0,21940,66330,16950,0,0,0,0,4140,0,88410
"1991M04",6996,1067,0,0,0,0,880,0,8976,23210,7524,0,0,0,0,484,0,31229,9966,1958,0,0,0,0,1023,0,12958,48180,11605,0,0,0,0,2684,0,62645
"1991M05",6510,900,0,0,0,0,720,0,8220,18160,5300,0,0,0,0,340,0,23840,10320,1860,0,0,0,0,1260,0,13450,42690,9280,0,0,0,0,2910,0,55230
"1991M06",5816,960,0,0,0,0,752,0,8112,20168,5800,0,0,0,0,584,0,26568,10736,1840,0,0,0,0,1184,0,13768,44520,9640,0,0,0,0,2752,0,58256
"1991M07",5970,1000,0,0,0,0,820,0,8160,25000,9090,0,0,0,0,570,0,34670,12790,2540,0,0,0,0,1210,0,16560,52380,13700,0,0,0,0,2860,0,69860
"1991M08",6578,891,0,0,0,0,682,0,8162,24299,9251,0,0,0,0,605,0,34177,11781,2255,0,0,0,0,1353,0,15411,52195,13926,0,0,0,0,3058,0,69399
"1991M09",6490,869,0,0,0,0,825,0,8250,27841,9152,0,0,0,0,572,0,37609,10549,1859,0,0,0,0,1023,0,13464,54054,13332,0,0,0,0,2849,0,70587
"1991M10",6996,1210,0,0,0,0,781,0,9009,33737,10923,0,0,0,0,803,0,45562,12936,2574,0,0,0,0,1342,0,16863,62238,15554,0,0,0,0,3289,0,81389
"1991M11",8195,1232,0,0,0,0,979,0,10505,42152,13288,0,0,0,0,1023,0,56804,16005,2772,0,0,0,0,1353,0,20174,75933,18216,0,0,0,0,4026,0,98956
"1991M12",5256,660,0,0,0,0,564,0,6672,45732,12612,0,0,0,0,1176,0,59640,39504,5844,0,0,0,0,3072,0,48480,99996,20208,0,0,0,0,5220,0,126144
"1992M01",4979,702,0,0,0,0,507,0,6773,39182,9789,0,0,0,0,741,0,49868,21216,2847,0,0,0,0,1417,0,25506,73879,14287,0,0,0,0,3237,0,92612
"1992M02",8220,1390,0,0,0,0,1030,0,11310,49010,13960,0,0,0,0,660,0,64890,22700,3040,0,0,0,0,1950,0,27860,89330,19700,0,0,0,0,3980,0,115790
"1992M03",9394,1298,0,0,0,0,1287,0,12089,40271,11858,0,0,0,0,913,0,54417,17237,2640,0,0,0,0,1430,0,21351,75757,16984,0,0,0,0,3993,0,98846
"1992M04",6240,1120,0,0,0,0,720,0,8090,31850,9180,0,0,0,0,950,0,42010,16630,2780,0,0,0,0,1670,0,21090,61580,14030,0,0,0,0,3650,0,79520
"1992M05",6990,1020,0,0,0,0,900,0,8960,22990,6050,0,0,0,0,500,0,29600,11410,2230,0,0,0,0,1500,0,15150,47890,10180,0,0,0,0,3390,0,61880
"1992M06",7160,1110,0,0,0,0,830,0,9580,20240,5520,0,0,0,0,570,0,26410,11040,2140,0,0,0,0,1270,0,14480,44770,9420,0,0,0,0,2970,0,58180
"1992M07",6886,1012,0,0,0,0,836,0,8987,30085,10307,0,0,0,0,1199,0,41602,15488,1980,0,0,0,0,1529,0,18997,60819,14377,0,0,0,0,4070,0,80201
"1992M08",7249,1056,0,0,0,0,924,0,9383,26301,9911,0,0,0,0,693,0,36938,10461,1903,0,0,0,0,1309,0,13706,52052,14223,0,0,0,0,3388,0,70037
"1992M09",6816,840,0,0,0,0,816,0,8676,26280,11112,0,0,0,0,648,0,38100,11580,2280,0,0,0,0,1380,0,15264,51612,15276,0,0,0,0,3156,0,70704
"1992M10",7623,1540,0,0,0,0,913,0,10131,34430,10846,0,0,0,0,594,0,45947,13354,2442,0,0,0,0,1551,0,17358,63943,16038,0,0,0,0,3399,0,83699
"1992M11",9108,1368,0,0,0,0,972,0,11628,42780,15300,0,0,0,0,924,0,59520,16740,3060,0,0,0,0,1380,0,21228,77376,21036,0,0,0,0,3684,0,103356
"1992M12",5328,732,0,0,0,0,588,0,6768,51348,16548,0,0,0,0,1704,0,70356,39708,6564,0,0,0,0,3636,0,49908,107520,25272,0,0,0,0,6564,0,140856
"1993M01",5736,768,0,0,0,0,588,0,7956,50892,15792,0,0,0,0,1164,0,68148,18948,3060,0,0,0,0,1536,0,23556,85572,21084,0,0,0,0,3552,0,112104
"1993M02",8700,1164,0,0,0,0,1116,0,11976,50976,17532,0,0,0,0,1308,0,71292,17976,3024,0,0,0,0,1680,0,22764,87708,23544,0,0,0,0,4608,0,118848
"1993M03",8988,1440,0,0,0,0,1128,0,12048,45084,17388,0,0,0,0,780,0,63492,16704,3060,0,0,0,0,1872,0,21648,78528,23316,0,0,0,0,4344,0,107172
"1993M04",7205,968,0,0,0,0,935,0,9152,34562,13486,0,0,0,0,1111,0,49192,16027,3311,0,0,0,0,2101,0,21472,64746,18942,0,0,0,0,4323,0,88308
"1993M05",7568,1067,0,0,0,0,957,0,9933,25366,8789,0,0,0,0,605,0,34771,10439,1903,0,0,0,0,1122,0,13464,50886,12749,0,0,0,0,3058,0,67639
"1993M06",7452,954,0,0,0,0,1035,0,9738,21087,7731,0,0,0,0,756,0,29700,11259,1647,0,0,0,0,1404,0,14328,46845,11241,0,0,0,0,3510,0,62361
"1993M07",7326,1320,0,0,0,0,902,0,10109,29546,13321,0,0,0,0,660,0,43582,12419,1925,0,0,0,0,1331,0,15708,57464,17732,0,0,0,0,3157,0,79365
"1993M08",7909,1375,0,0,0,0,1089,0,10461,27016,13178,0,0,0,0,605,0,40854,10670,2013,0,0,0,0,1089,0,13794,51931,18920,0,0,0,0,3399,0,74580
"1993M09",7248,888,0,0,0,0,900,0,9300,30408,14424,0,0,0,0,888,0,45792,11568,2160,0,0,0,0,1296,0,15084,56208,18516,0,0,0,0,3396,0,78792
"1993M10",8472,1476,0,0,0,0,900,0,10896,45024,16548,0,0,0,0,720,0,62460,13692,2532,0,0,0,0,1596,0,17832,74112,21648,0,0,0,0,3528,0,99780
"1993M11",8645,1612,0,0,0,0,1300,0,11661,51012,20475,0,0,0,0,1144,0,73203,18538,3094,0,0,0,0,1703,0,23361,85436,26130,0,0,0,0,4407,0,116857
"1993M12",5166,882,0,0,0,0,798,0,6874,55146,21322,0,0,0,0,1862,0,78652,44856,7140,0,0,0,0,4480,0,56518,112630,30408,0,0,0,0,7350,0,151172
"1994M01",6286,1092,0,0,0,0,728,0,9128,53438,17850,0,0,0,0,1274,0,74116,23128,3962,0,0,0,0,1946,0,29106,92554,24472,0,0,0,0,4200,0,124446
"1994M02",9324,1272,0,0,0,0,1308,0,12336,63996,23184,0,0,0,0,1584,0,90192,20688,3084,0,0,0,0,2064,0,25944,103344,28992,0,0,0,0,5592,0,140616
"1994M03",9321,1638,0,0,0,0,1235,0,12337,56251,21970,0,0,0,0,1404,0,80431,20410,3146,0,0,0,0,2275,0,25896,93652,28353,0,0,0,0,5538,0,129402
"1994M04",7848,1536,0,0,0,0,1080,0,10500,40572,16044,0,0,0,0,900,0,57696,13968,2748,0,0,0,0,1932,0,18672,70332,21996,0,0,0,0,4212,0,96960
"1994M05",8544,1716,0,0,0,0,1308,0,11832,25956,10284,0,0,0,0,744,0,37080,11532,2304,0,0,0,0,1380,0,15252,53052,15708,0,0,0,0,3888,0,73296
"1994M06",8220,1250,0,0,0,0,1110,0,10890,24100,8740,0,0,0,0,680,0,33610,12470,2190,0,0,0,0,1560,0,16240,52650,13060,0,0,0,0,3690,0,69990
"1994M07",8580,1441,0,0,0,0,1309,0,12243,35211,14278,0,0,0,0,1298,0,50820,13552,2266,0,0,0,0,1529,0,17358,68134,19635,0,0,0,0,4521,0,93401
"1994M08",8749,1300,0,0,0,0,1287,0,11401,32448,14963,13,26,0,0,832,0,48334,12389,2457,26,39,0,0,1365,0,16289,63388,20449,39,65,0,0,4030,0,88296
"1994M09",8073,1248,0,0,0,0,1300,0,10777,33345,16874,0,13,0,0,1235,0,51571,12688,2808,0,65,0,0,1638,0,17225,63882,23114,0,78,0,0,4680,0,92183
"1994M10",9268,1736,0,0,0,0,1288,0,12460,48594,19698,0,0,0,0,1050,0,69636,14210,2730,0,0,0,0,1722,0,18690,83300,26054,0,0,0,0,4634,0,114632
"1994M11",10248,2002,0,0,0,0,1610,0,13958,58128,21140,0,0,0,0,1400,0,81382,17878,3150,0,0,0,0,1750,0,22848,96516,28336,0,0,0,0,5572,0,131628
"1994M12",5640,1065,0,0,0,0,975,0,7845,65115,21510,0,60,0,0,2400,0,90315,43800,7860,0,180,0,0,4575,0,56505,125460,31575,0,240,0,0,8670,0,167715
"1995M01",6592,944,0,0,0,0,912,0,9280,61232,19184,0,0,0,0,1376,0,83360,24416,4048,0,16,0,0,2368,0,30896,103616,26016,0,16,0,0,5168,0,137792
"1995M02",9405,1425,0,0,0,0,1530,0,12675,64290,22785,0,0,0,0,1500,0,90285,21630,3480,0,0,0,0,2505,0,27690,106215,29565,0,0,0,0,6060,0,144540
"1995M03",11775,1890,0,0,0,0,1635,0,15360,57060,20175,0,0,0,0,1425,0,79290,18990,3930,0,0,0,0,1980,0,24900,97950,27960,0,0,0,0,5580,0,132570
"1995M04",9659,1105,0,13,0,0,1365,0,12233,42757,17342,0,13,0,0,1339,0,61477,17537,3562,0,156,0,0,2574,0,23855,80249,23205,0,182,0,0,5993,0,110097
"1995M05",9867,2145,0,22,0,0,1397,0,13563,28721,10164,0,22,0,0,847,0,39853,12023,2387,0,77,0,0,1683,0,16203,59081,15884,0,121,0,0,4499,0,80179
"1995M06",9064,1485,0,0,0,0,1342,0,11935,26136,8569,0,55,0,0,770,0,35607,12386,2442,0,44,0,0,1815,0,16698,55319,13651,0,99,0,0,4598,0,73931
"1995M07",9516,1898,0,0,0,0,1365,13,13195,41262,13975,0,13,0,0,767,559,56667,15314,2340,0,91,0,0,1573,26,19370,77493,19721,0,130,0,0,4186,650,102908
"1995M08",9086,1204,0,28,0,0,1708,0,12082,36050,14126,0,42,0,0,770,560,51688,13118,2352,28,224,0,0,1736,14,17486,67368,19320,28,294,0,0,4718,588,92582
"1995M09",8985,1620,15,0,0,0,1305,30,12030,35535,15750,30,210,0,0,1005,390,52965,13425,2985,90,570,0,0,1755,15,18840,66795,22110,135,795,0,0,4545,465,95115
"1995M10",9795,1725,0,15,0,0,1980,0,13665,50910,16800,30,90,0,0,915,0,68820,15195,2985,90,510,0,0,1560,0,20415,87255,23265,120,630,0,0,5145,0,116850
"1995M11",11190,2445,15,30,0,0,1575,0,15390,58755,19980,30,555,0,0,885,0,80790,19485,3420,120,1260,0,0,1950,0,26250,99300,27660,165,1935,0,0,4980,0,135015
"1995M12",7408,1264,0,64,0,0,992,0,9920,73280,21152,64,976,0,0,1744,0,98864,47072,8128,384,3088,0,0,5376,0,64096,139472,31984,464,4432,0,0,8624,0,187216
"1996M01",8381,1224,17,119,0,0,1003,0,12053,62832,19686,153,527,0,0,1224,0,85391,24565,4080,187,1139,0,0,2499,0,32521,108358,26758,374,1955,0,0,5372,0,145673
"1996M02",10992,1664,16,48,0,0,1696,0,14688,69872,23056,400,1040,0,0,1360,0,97600,23840,4272,272,1824,0,0,2576,0,32928,117056,30832,752,3168,0,0,6208,0,160848
"1996M03",11360,1728,16,48,0,0,1632,0,15264,57696,20816,384,912,0,0,1584,0,81472,22048,4080,416,1552,0,0,2480,0,30688,102512,28016,880,2720,0,0,6336,0,141424
"1996M04",9615,1590,0,45,0,0,1455,0,12810,44760,19515,165,465,0,0,1275,0,66300,18465,3645,300,1065,15,0,2460,0,25950,84150,26775,495,1740,15,0,5700,0,119220
"1996M05",10738,1904,28,42,0,0,2002,0,14896,29680,10892,98,168,14,0,672,0,41580,13328,2072,196,728,84,0,1652,0,18074,63294,16380,350,980,140,0,4984,0,86590
"1996M06",9568,1404,0,39,13,0,1404,0,12597,29445,10205,117,247,0,0,728,247,41041,16055,2431,208,1014,104,0,1911,0,21723,64922,15808,338,1365,143,0,4667,260,87815
"1996M07",9616,1856,16,96,16,0,1648,32,13328,37856,16128,224,336,16,0,1072,320,56048,14832,2928,352,1104,240,0,1408,16,20928,74688,23120,624,1664,304,0,4576,400,105712
"1996M08",10032,1632,16,112,0,0,1520,32,13472,37088,16096,336,208,48,0,528,592,54976,14352,2640,144,912,144,0,1520,0,19744,71776,21968,528,1264,256,0,4224,672,101056
"1996M09",9696,1584,16,16,0,0,1616,16,13056,33904,17664,96,208,144,0,736,160,52944,14992,2672,160,528,64,0,1760,0,20192,70000,24288,304,896,240,0,4688,208,100944
"1996M10",11203,1411,17,17,17,0,1377,0,14314,51034,17918,51,102,85,0,1122,0,70414,17697,3536,153,306,459,0,1870,0,24055,90559,24395,221,493,595,0,4913,0,121754
"1996M11",11747,1972,0,34,0,0,1955,0,15827,64991,22389,85,136,51,0,1122,0,89437,23137,3434,170,391,476,0,2023,0,29648,111588,29308,272,629,561,0,5848,0,149226
"1996M12",8046,1530,18,54,18,0,1602,0,11448,81342,25254,252,630,468,0,2412,0,111348,52434,9000,486,1620,1386,0,5328,0,70272,153918,37242,774,2430,1926,0,9810,0,208458
"1997M01",8322,931,0,38,0,0,1444,0,11951,66063,21508,190,475,171,0,1615,0,91143,26809,4883,152,589,418,0,2717,0,35606,114057,28861,380,1254,646,0,6422,0,155097
"1997M02",11050,1955,0,0,17,0,2074,0,15283,70261,24769,119,238,119,0,1649,0,98889,25840,4216,323,374,408,0,2805,0,34034,121261,32776,493,663,595,0,7463,0,166175
"1997M03",11373,1632,0,51,17,0,1785,0,14994,61234,22763,136,153,85,0,1394,0,86088,25398,4250,272,493,578,0,3009,0,34000,109531,30175,442,765,731,0,6970,0,149294
"1997M04",10659,1309,0,17,0,0,2108,0,14297,43877,16065,68,85,119,0,1037,0,61319,17544,3060,153,306,221,0,1870,0,23171,83215,21352,238,425,374,0,6290,0,112302
"1997M05",10920,2044,14,14,14,0,1596,0,14742,29904,11606,70,56,0,0,798,0,42574,12712,2380,70,336,308,0,1778,0,17626,63672,17766,182,434,336,0,4914,0,87836
"1997M06",10780,1484,0,14,28,0,1806,0,14238,26810,10878,70,70,28,0,854,98,38920,14434,2394,70,280,238,0,1722,0,19152,61166,16100,154,364,322,0,4914,98,83482
"1997M07",10523,1734,34,17,34,0,1938,0,14314,38709,14433,68,85,34,0,680,476,54502,17051,2516,170,221,153,0,1632,17,21794,78897,20349,289,374,238,0,4981,527,105910
"1997M08",10832,1408,0,16,0,0,1856,0,14176,34192,16160,64,112,48,0,752,864,52192,14976,2400,112,208,272,0,1776,0,19744,70592,21728,176,368,384,0,4800,896,99216
"1997M09",10530,1430,0,0,0,0,1794,0,13793,32071,18109,0,52,78,0,1209,0,51545,15210,3315,0,377,286,0,2106,0,21294,67249,24427,0,442,416,0,5967,0,98618
"1997M10",11016,1332,0,36,48,0,1956,0,14400,44424,16128,0,120,36,0,1032,0,61872,18624,3924,12,468,276,0,1968,0,25296,85176,22836,12,648,384,0,5568,0,114948
"1997M11",12612,2268,0,36,0,0,2052,0,17028,55512,21468,0,132,84,0,1260,0,78924,21864,4308,0,492,228,0,2316,0,29232,101736,30564,0,684,360,0,6444,0,140472
"1997M12",8086,1443,0,26,13,0,1313,0,10959,59579,25155,0,507,221,0,2509,0,88075,51649,9659,0,1755,871,0,5577,0,69537,131885,37830,0,2340,1144,0,10257,0,183833
"1998M01",8205,1275,0,30,0,0,1155,0,11175,54705,21930,0,360,75,0,1485,0,80295,30165,5610,0,915,405,0,3390,0,40530,106860,31110,0,1350,510,0,6660,0,149280
"1998M02",12192,1872,0,72,0,0,1920,0,16164,57108,25116,0,168,96,0,1836,0,87012,28140,6168,0,576,228,0,3132,0,38400,110436,34956,0,864,336,0,7752,0,158388
"1998M03",13598,2015,0,13,13,0,2652,0,18343,44707,19916,0,169,39,0,1339,0,67847,22152,4563,0,364,195,0,2119,0,29484,91299,28548,0,598,286,0,7111,0,130481
"1998M04",10968,1848,0,0,0,0,2112,0,15048,35532,16848,0,216,72,0,1932,0,54648,23616,4956,0,588,324,0,2856,0,32352,80820,25656,0,840,444,0,7584,0,115680
"1998M05",11370,1850,10,30,0,0,2280,0,15690,22810,9740,20,40,10,0,1050,0,33730,15680,2670,40,230,170,0,2320,0,21110,58050,15650,90,330,230,0,6720,0,81350
"1998M06",11070,1242,9,9,0,0,2322,0,14751,21555,10449,90,45,27,0,855,0,33048,15867,2583,198,234,108,0,1962,0,20952,58212,15219,342,288,162,0,5715,0,80217
"1998M07",10560,1368,12,0,0,0,2100,36,14100,31644,16452,84,108,60,0,1224,804,50400,19380,3504,180,300,192,0,2268,0,25836,74520,23052,300,456,300,0,6456,852,106500
"1998M08",11136,1368,24,36,12,0,1968,36,14628,26088,17364,84,84,36,0,696,1260,45612,15708,2244,252,252,228,0,1956,12,20664,62844,23040,384,396,288,0,5244,1356,93672
"1998M09",10416,1404,12,48,12,0,2376,12,14280,31524,18480,120,132,24,0,1284,384,52020,16656,3360,300,528,252,0,2316,36,23448,69156,24780,492,720,324,0,6408,444,102540
"1998M10",11843,1703,0,13,0,0,1950,26,15587,44772,16718,52,117,13,0,1118,52,62946,19461,3835,156,416,221,0,2509,0,26598,89310,24297,234,611,247,0,6656,78,121862
"1998M11",13676,2236,26,0,0,0,2626,39,18655,56381,21944,104,143,39,0,1430,130,81159,24518,4823,195,546,299,0,2301,26,32734,106977,31759,338,780,351,0,7631,247,149422
"1998M12",8385,1005,0,15,0,0,1530,15,11130,60330,27105,285,435,195,0,2715,180,92970,54105,10410,945,1500,930,0,6330,75,74310,136020,39990,1305,2055,1200,0,11910,300,195120
"1999M01",8512,1776,0,16,0,0,1280,32,11888,57616,23040,208,96,112,0,1840,240,86528,28992,5872,400,624,384,0,3184,80,39568,109600,32944,640,752,544,0,7296,368,156400
"1999M02",12064,2210,13,39,0,0,2197,39,16653,65780,26598,182,156,91,0,1547,247,96733,28080,5590,338,650,377,0,2951,26,38103,119873,36218,598,858,494,0,7670,364,169117
"1999M03",12246,2080,0,13,26,0,2782,13,17251,51883,21697,143,169,117,0,1690,247,77103,26481,5187,416,806,286,0,3432,13,36621,101803,30732,624,1053,533,0,8775,351,145444
"1999M04",11180,1807,0,78,0,0,1872,0,15093,40495,20072,169,91,26,0,1742,377,63024,21905,4264,182,728,390,0,3159,13,30641,83577,27937,377,988,429,0,7527,390,121628
"1999M05",12440,1520,10,0,0,0,2500,30,16580,26320,12210,40,90,20,0,860,80,39630,15550,2830,210,300,200,0,2080,40,21220,64050,17910,300,440,250,0,6340,280,89780
"1999M06",10736,1683,11,22,11,0,2035,11,14553,25333,10472,110,110,44,0,869,286,37257,17270,2926,220,286,242,0,2035,66,23045,63646,16181,385,473,330,0,5918,374,87527
"1999M07",11914,1806,0,14,0,0,1792,42,15624,33292,15106,140,56,70,0,1218,1596,51520,19852,4130,196,406,140,0,2226,28,26978,79422,22960,336,490,252,0,6384,1722,111832
"1999M08",12779,1950,52,78,26,0,2067,39,17043,28093,19266,169,78,26,0,1248,1144,50037,16510,3328,195,208,169,0,1963,26,22399,67366,27170,455,390,221,0,6877,1391,104026
"1999M09",12454,2236,13,39,0,0,2067,78,16939,32682,19448,208,117,117,0,1625,832,55042,18668,3913,260,507,273,0,2587,39,26260,76167,27937,533,741,390,0,7254,975,114283
"1999M10",13538,2408,0,42,0,0,2156,14,18214,47068,21686,126,140,14,0,1176,280,70714,20958,4102,210,448,280,0,2548,28,28574,92512,31444,392,700,308,0,6636,448,132888
"1999M11",14574,2016,0,28,42,0,2282,28,19068,64582,28098,168,238,56,0,1372,182,94990,28644,5796,294,518,336,0,2744,28,38402,120106,38780,532,882,434,0,7238,294,168924
"1999M12",9552,1584,0,32,16,0,1440,16,12736,66400,23376,528,784,272,0,2336,112,97392,56256,11552,1104,2464,1520,0,7120,112,80160,143824,38176,1664,3504,1904,0,11968,240,205392
"2000M01",9214,1309,51,51,34,0,1581,17,12444,63461,24905,238,476,238,0,1989,238,93432,31331,6970,527,1428,646,0,3604,51,44608,116943,35275,833,2040,1037,0,8211,374,167093
"2000M02",14655,2085,30,75,15,0,2430,60,19560,71475,29520,240,240,195,0,1770,300,106155,37785,6855,435,885,540,0,3765,15,50400,136080,40815,765,1320,795,0,9315,390,192765
"2000M03",13995,2250,30,90,60,0,2430,45,18930,53865,25320,105,330,30,0,1800,255,81840,27615,5355,435,1035,690,0,3435,45,38625,105555,35145,585,1545,825,0,8475,390,152850
"2000M04",11715,1650,60,105,15,0,1515,15,15135,46245,23775,180,255,195,0,1695,180,72555,30015,5760,495,1440,750,0,3540,60,42090,98820,33315,795,1965,1020,0,7425,405,143985
"2000M05",13574,2376,11,44,44,0,2409,11,18524,29799,14839,55,209,121,0,990,231,46288,17182,2926,275,594,374,0,1859,22,23232,68706,22154,363,913,616,0,5775,275,99022
"2000M06",11148,1512,12,84,0,0,2016,60,14904,29052,12408,108,168,84,0,1116,252,43248,18624,3432,288,828,516,0,2148,24,25860,69420,19368,444,1116,636,0,5772,420,97464
"2000M07",13110,2115,30,75,30,0,2145,60,17685,39345,20445,150,165,120,0,1305,1605,63150,21240,4245,525,735,720,0,2145,60,29685,90075,29370,735,1095,930,0,6450,1935,130890
"2000M08",12684,1596,70,70,56,0,2674,56,17262,34356,22540,322,210,126,0,1610,1106,60284,19082,3430,238,896,574,0,2002,28,26264,75992,29764,686,1246,784,0,7280,1540,117432
"2000M09",9780,1650,0,90,0,0,1755,15,13395,34755,18870,375,525,150,0,1590,1080,57435,19860,3810,615,1095,1005,0,2685,45,29130,74625,26550,1020,1800,1230,0,6780,1380,113715
"2000M10",14368,2224,32,80,16,0,2096,32,19056,53856,22512,144,240,112,0,1728,208,79680,21696,4576,432,816,656,0,2848,32,31072,102400,32160,656,1312,832,0,7488,352,146560
"2000M11",14160,2288,48,0,16,0,2736,16,19328,72848,30032,224,160,160,0,2480,208,107728,29872,5440,512,832,496,0,3136,0,40320,127984,40064,848,1024,688,0,9264,272,182144
"2000M12",10914,1343,17,51,51,0,1972,34,14416,81515,29665,765,1071,527,0,3196,340,117453,68493,11968,1598,3026,2261,0,7633,85,95098,173128,45186,2482,4352,2958,0,13702,459,242845
"2001M01",10720,1640,20,40,20,0,1480,40,14060,79640,29940,260,460,240,0,2380,300,113660,37600,6820,980,1200,840,0,3640,20,51100,142980,40540,1300,1860,1220,0,8400,400,197660
"2001M02",14042,1989,34,17,51,0,2499,0,18717,76823,29954,357,306,170,0,2618,204,115617,33405,6035,544,1037,476,0,3723,51,45594,139060,40902,1003,1411,799,0,9945,374,199801
"2001M03",15640,2414,17,102,34,0,2448,68,20808,64787,28186,323,340,102,0,2278,238,96662,31688,5559,493,1003,731,0,3281,51,42823,124355,38811,884,1530,986,0,9231,442,176936
"2001M04",12665,1870,0,51,51,0,2006,17,16881,50796,24038,272,408,272,0,1836,221,77843,30566,4930,765,1224,901,0,3672,68,42143,106250,33473,1190,1768,1275,0,8551,374,153204
"2001M05",14534,2171,13,65,26,0,2704,0,19578,33436,15314,156,208,26,0,1170,78,50440,20137,4108,377,650,286,0,2470,39,28080,78130,23127,650,1014,403,0,7046,247,110942
"2001M06",12350,1885,26,39,13,0,2171,13,16614,33605,13468,117,130,130,0,1066,260,48789,22867,4355,312,624,429,0,2873,13,31473,81185,21632,507,936,624,0,6734,312,112229
"2001M07",12223,1904,0,85,17,0,2312,17,16660,46699,23256,238,272,85,0,1445,1326,73338,23919,4063,391,765,595,0,2805,34,32589,99977,32266,663,1224,731,0,7718,1564,144364
"2001M08",13455,1935,90,45,60,0,2055,30,17760,42225,24540,510,225,120,0,1095,1140,69855,21795,4020,510,660,495,0,2430,45,29955,90930,34590,1305,1035,705,0,6750,1350,136815
"2001M09",11880,1560,15,60,90,0,2040,45,15735,42165,21825,540,480,135,0,1350,1200,67755,22230,4290,570,1230,705,0,2565,90,31695,88065,30945,1170,1830,945,0,6525,1470,131175
"2001M10",13141,1751,34,68,85,0,1683,0,16813,51544,19975,153,204,68,0,1513,187,73678,24123,3995,340,952,510,0,2431,17,32402,103836,28271,561,1394,782,0,6511,323,141967
"2001M11",15195,1980,60,105,30,0,2505,0,19935,62610,23205,255,300,75,0,1980,150,88875,28695,4770,450,870,645,0,2850,15,38325,120105,32100,810,1395,825,0,8445,180,164520
"2001M12",10268,1649,17,68,51,0,1870,68,14059,79322,25381,663,986,510,0,3723,306,112914,68493,10914,1700,3060,2040,0,7310,34,93551,173315,40069,2533,4318,2703,0,13804,459,239768
"2002M01",10122,1386,63,105,42,0,1764,21,13650,79821,23856,840,525,210,0,3591,315,115710,38073,6048,777,1722,1155,0,3612,42,51534,146643,34104,1785,2604,1512,0,10038,399,204645
"2002M02",15487,1887,34,85,68,0,2329,17,20060,85612,25092,697,408,289,0,3366,374,120547,36669,5559,731,1258,1020,0,4437,34,49878,154445,35054,1615,2040,1445,0,11407,425,212041
"2002M03",13968,1872,108,18,0,0,2574,18,18720,76860,26514,504,450,378,0,3474,360,110070,39348,5832,828,1962,1134,0,4446,18,53586,146934,37242,1674,2556,1602,0,11430,450,203868
"2002M04",13719,1921,34,34,34,0,2703,17,18564,48552,20553,357,425,170,0,1751,374,72233,25194,4012,561,1207,799,0,2550,0,34408,102442,28611,1020,1683,1054,0,8109,442,143718
"2002M05",12712,2030,42,42,42,0,2338,14,17290,41202,13580,238,140,70,0,1246,14,57666,20496,3234,434,952,728,0,2646,28,28546,85890,20776,840,1162,882,0,7098,154,118244
"2002M06",13195,1573,104,78,13,0,2327,0,17407,35776,11492,507,260,78,0,1352,195,50050,21801,3016,403,962,624,0,2600,39,29484,86281,17589,1040,1326,767,0,7111,260,115076
